id,created,french,korean
974004ed-ac46-4f90-9fc7-7db1a45581be,2025-03-28 17:42:28,"""on dit que""",거라고 하다
bdba4ae8-5347-4d3b-94a6-538c5bc88968,2025-03-28 17:39:57,(prenom)famille de (particule),(prenom)네
a2d2d301-ad06-436e-89e9-1158a78020ab,2025-03-26 16:21:25,action de fumer,흡연
7c9012da-849c-4f0c-ae37-d08b06de31dd,2025-03-25 21:06:14,adorable,사랑스럽다
2cb430a8-0e2d-40b9-98f3-5f43119d703a,2025-03-28 14:40:04,adresse,주소
0c7d6bdc-ecc2-4eef-8163-84cc4c816f49,2025-03-28 17:51:10,aider,도와주다
20f54c9b-cd2c-485e-88d5-f4f083c7353f,2025-03-25 21:00:14,aider,돕다
77cb44e2-0a6a-4d5e-b370-e8f8120e437e,2025-03-25 21:29:14,aller au travail,출근
a189c18f-19eb-40f9-be38-b30877120f1a,2025-03-27 15:25:33,ancien (manière),재래식
69484744-e462-4f96-9904-222741e17afb,2025-03-28 17:42:45,année dernière,작년
4916a156-ce61-4371-a145-09c3a6c0ea6e,2025-03-25 21:23:52,assez,그만
242151f5-f9f4-47c4-a63a-793a3cf48dad,2025-03-25 21:15:33,attendre,기다리다
f134d099-1191-4e4e-9928-8670a6eceafe,2025-03-25 21:48:30,augmenter,올리다
68142751-4b2c-48d3-b5ec-5258cce06a9c,2025-03-24 17:13:27,aujourd'hui,오늘
b349aff0-7004-42ec-ab0c-655d7efe9f3f,2025-03-24 20:04:11,boutique,매장
8bb75134-84ff-4176-9769-02b819295e17,2025-03-28 17:50:18,ce jour-là,그날
0f710376-234d-486c-8032-0449f24662c8,2025-03-13 15:36:18,chaise,의자
c993272d-13e0-46c2-a7c9-c2a4060e53e8,2025-03-28 14:35:58,chapeau,모자
e24ceff0-7da9-4741-b771-aae1211f6d48,2025-03-13 15:36:13,chat,고양이
5e914123-f759-4bc3-ba03-2db5616b322a,2025-03-25 21:39:00,chercher,찾다
33b009d7-2d7a-4798-8a0d-80cd4ab9bda4,2025-03-13 15:34:44,chien,개
c1a91ab7-8333-4648-a9ce-a1728f1d91ce,2025-03-24 16:54:56,choisir,정하다
3c2582b9-92a0-4132-adbc-66032531aaf0,2025-03-24 16:45:58,client,손님
9b3ca06a-6144-4045-90d2-63d45ad07ef3,2025-03-25 21:49:46,commencement,처음
da29bf10-fcc0-4ec0-963a-3a32222275e9,2025-03-28 17:43:46,comparé à,에 비해
32f978cd-f365-4cd4-8313-5af3c787816a,2025-03-26 16:02:04,compliment,칭찬
52dae17a-62e7-4e44-8f31-bb9f7bd57e2c,2025-03-26 16:22:37,contravention,벌금
9767eeeb-5f66-4af3-a4a0-bd8ee17a90c6,2025-03-13 15:46:19,coussin,쿠션
08898d2e-fc19-4fdb-b7da-454081b15fba,2025-03-26 16:11:40,crier,소리치다
5df0ba12-80f9-432d-94b4-b345b8ee138b,2025-03-27 15:20:12,culture traditionnelle,전통 문화
2c92504f-c566-4612-b891-908164411d96,2025-03-27 15:22:13,cérémonie,식
432634d2-cc14-4ef0-934a-5ae2aad5bb45,2025-03-24 20:01:41,dans ce cas,그럼
c987298a-eef3-4d52-a707-f82bf63fa070,2025-03-25 21:19:54,de nos jours,요즘
0d44134e-dca4-44ef-ace8-d35bdacc1456,2025-03-25 21:16:38,de toute façon,어쨌든
d6af128e-f139-4536-98d0-7d308afa5ca5,2025-03-24 16:59:09,diplôme,학위
75053f8d-312a-40d1-82af-3df36bbc8bd2,2025-03-25 21:19:10,docteur,의사
fad21c46-e8ee-4ba9-b8fb-033446380bc7,2025-03-25 21:18:17,dépenser (de l'argent),쓰다
2bdffee7-2108-4770-887f-9f4f02e3dd6c,2025-03-25 21:08:37,emporter,가져가다
172f7d74-4ec9-45cf-8d1b-bee295ece41f,2025-03-25 21:10:24,emprunter,타다
54d75095-f61c-4747-a3fa-577fe7cd62c5,2025-03-25 21:30:53,encore,다시
440944e8-8a67-467e-8579-7ee619efb807,2025-03-25 21:31:41,encore,또
dcb22148-9f07-4a7d-8527-45e3745686e7,2025-03-24 20:08:52,enseigner,가르치다
2c305d30-248c-428d-8e04-74fa073498cd,2025-03-25 21:28:26,ensemble,함께
57bcd283-dcc2-42ba-8517-8bd16057f33b,2025-03-24 20:00:19,environ,정도
626b44a5-dbfa-4c71-b244-9567b51c8bef,2025-03-25 21:18:47,envoyer,보내다
a1367d31-8832-4495-8b8b-dabbdd442e21,2025-03-24 20:12:36,escalier,계단
3ad6fda5-2bf2-4c9d-95c5-b0923457b89c,2025-03-25 20:54:38,et,그리고
6c51847f-e662-44a3-b611-543943e03f37,2025-03-27 15:46:40,exposition,전시
